Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,182.96,184.81,181.87,182.91,135700,0.0,0.0
2017-01-04,183.55,185.55,182.3,185.32,154500,0.0,0.0
2017-01-05,185.38,187.16,184.14,185.93,183400,0.0,0.0
2017-01-06,185.93,188.0,185.93,187.51,125700,0.0,0.0
2017-01-09,188.0,189.27,187.34,188.38,142800,0.0,0.0
2017-01-10,192.1,194.2,187.5,188.48,224000,0.0,0.0
2017-01-11,188.49,188.76,183.45,187.17,261000,0.0,0.0
2017-01-12,187.19,187.76,185.86,186.41,138200,0.0,0.0
2017-01-13,185.88,189.24,185.88,188.46,124400,0.0,0.0
2017-01-17,187.17,189.29,186.5,187.96,188700,0.0,0.0
2017-01-18,187.57,188.56,186.1,187.87,340300,0.0,0.0
2017-01-19,187.7,188.4,185.9,187.43,336100,0.0,0.0
2017-01-20,188.12,188.58,186.48,186.91,154300,0.0,0.0
2017-01-23,186.09,188.33,185.3,185.73,584800,0.0,0.0
2017-01-24,185.72,187.54,183.43,185.1,248000,0.0,0.0
2017-01-25,185.52,187.98,185.43,187.2,152700,0.0,0.0
2017-01-26,186.37,188.72,186.34,188.01,391500,0.0,0.0
2017-01-27,188.0,188.98,186.26,186.5,98900,0.0,0.0
2017-01-30,186.35,188.07,184.54,186.61,116000,0.0,0.0
2017-01-31,186.51,190.36,184.97,190.08,178200,0.0,0.0
2017-02-01,190.5,192.6,188.81,189.63,120400,0.0,0.0
2017-02-02,189.54,189.84,188.43,189.31,86000,0.0,0.0
2017-02-03,189.68,191.49,189.42,191.1,88900,0.0,0.0
2017-02-06,190.96,191.5,189.76,191.44,91600,0.0,0.0
2017-02-07,192.06,192.06,188.26,189.71,136400,0.0,0.0
2017-02-08,189.94,190.0,187.57,189.29,147000,0.0,0.0
2017-02-09,189.29,190.88,189.29,190.88,166500,0.0,0.0
2017-02-10,191.25,191.85,189.63,190.31,103600,0.0,0.0
2017-02-13,191.37,191.49,188.24,189.17,180000,0.0,0.0
2017-02-14,189.12,191.83,188.11,191.75,175800,0.0,0.0
2017-02-15,191.64,192.64,190.9,192.21,84300,0.0,0.0
2017-02-16,192.89,193.28,190.53,191.85,97500,0.0,0.0
2017-02-17,191.86,193.6,190.09,193.27,113500,0.0,0.0
2017-02-21,193.27,194.25,191.3,192.06,148400,0.0,0.0
2017-02-22,192.27,193.12,191.24,191.67,94000,0.0,0.0
2017-02-23,192.5,193.31,190.49,192.0,145200,0.0,0.0
2017-02-24,189.1,192.73,186.98,191.92,362700,0.0,0.0
2017-02-27,192.16,197.63,191.61,196.83,241700,0.0,0.0
2017-02-28,196.14,197.35,194.64,194.64,270500,0.0,0.0
2017-03-01,195.44,197.71,193.11,196.02,227900,0.0,0.0
2017-03-02,195.72,197.81,195.04,195.41,142100,0.0,0.0
2017-03-03,196.34,198.21,195.73,198.02,191300,0.0,0.0
2017-03-06,196.73,197.78,194.97,195.08,177900,0.0,0.0
2017-03-07,195.02,197.16,193.65,195.5,127300,0.0,0.0
2017-03-08,195.0,196.98,194.99,196.13,133400,0.0,0.0
2017-03-09,195.52,196.88,195.24,195.71,143500,0.0,0.0
2017-03-10,196.51,197.71,195.78,197.25,317800,0.0,0.0
2017-03-13,197.0,198.21,195.02,197.61,317700,0.0,0.0
2017-03-14,198.41,203.39,198.2,201.93,536800,0.0,0.0
2017-03-15,202.14,209.5,200.86,207.83,739800,0.0,0.0
2017-03-16,208.24,208.6,200.35,200.96,462100,0.0,0.0
2017-03-17,200.81,200.81,196.4,197.31,615400,0.0,0.0
2017-03-20,197.21,197.21,194.01,196.0,587800,0.0,0.0
2017-03-21,197.2,199.34,194.75,195.69,247000,0.0,0.0
2017-03-22,195.86,199.23,195.61,199.02,249400,0.0,0.0
2017-03-23,199.11,201.53,197.82,200.19,162900,0.0,0.0
2017-03-24,200.4,203.34,200.0,200.41,171500,0.0,0.0
2017-03-27,198.68,200.42,198.44,199.64,205700,0.0,0.0
2017-03-28,199.43,201.24,199.17,200.13,210200,0.0,0.0
2017-03-29,200.15,200.38,198.0,198.55,103300,0.0,0.0
2017-03-30,198.36,199.71,198.34,199.25,99100,0.0,0.0
2017-03-31,198.83,200.76,195.5,199.34,154300,0.0,0.0
